"id","message","created_time"
"3","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-01-31 18:20:53"
"4","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-01 07:42:30"
"6","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-01 07:47:44"
"7","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-01 07:49:54"
"9","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-01 07:53:24"
"10","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-01 07:59:13"
"11","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-01 08:03:31"
"12","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-01 08:28:23"
"13","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-01 10:21:01"
"14","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-01 10:27:46"
"15","  MUHAMMAD BURHAN ZAKI   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-01 14:19:34"
"16","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-02 06:40:03"
"17","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-02 06:41:30"
"18","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-02 06:44:00"
"19","face not detected burhan zaki","2024-02-02 06:52:58"
"20","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-02 06:53:02"
"21","face not Detected by imran","2024-02-02 06:53:34"
"22","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-02 10:48:03"
"23","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-02 10:57:31"
"24","  SDSD   has leave the meeting Due to OPEN NEW TAB OR BROWSER","2024-02-02 11:04:21"
