"exans_id","axmne_id","exam_id","quest_id","exans_answer","exans_status","exans_created"
"295","4","12","25","Diode, inverted, pointer","old","2019-12-07 03:52:14"
"296","4","12","16","Data Block","old","2019-12-07 03:52:14"
"297","6","12","18","Programmable Logic Controller","old","2019-12-05 13:59:47"
"298","6","12","9","1850s","old","2019-12-05 13:59:47"
"299","6","12","24","1976","old","2019-12-05 13:59:47"
"300","6","12","14","Operating System","old","2019-12-05 13:59:47"
"301","6","12","19","WAN (Wide Area Network)","old","2019-12-05 13:59:47"
"302","6","11","28","fds","new","2019-12-05 13:04:28"
"303","6","11","29","sd","new","2019-12-05 13:04:28"
"304","6","12","15","David Filo & Jerry Yang","new","2019-12-05 13:59:47"
"305","6","12","17","System file","new","2019-12-05 13:59:47"
"306","6","12","10","Field","new","2019-12-05 13:59:47"
"307","6","12","9","1880s","new","2019-12-05 13:59:47"
"308","6","12","21","Temporary file","new","2019-12-05 13:59:47"
"309","4","11","28","q1","new","2019-12-05 14:30:21"
"310","4","11","29","dfg","new","2019-12-05 14:30:21"
"311","4","12","16","Data Block","new","2019-12-07 03:52:14"
"312","4","12","20","Plancks radiation","new","2019-12-07 03:52:14"
"313","4","12","10","Report","new","2019-12-07 03:52:14"
"314","4","12","24","1976","new","2019-12-07 03:52:14"
"315","4","12","9","1930s","new","2019-12-07 03:52:14"
"316","8","12","18","Programmable Lift Computer","new","2020-01-05 04:18:35"
"317","8","12","14","Operating System","new","2020-01-05 04:18:35"
"318","8","12","20","Einstein oscillation","new","2020-01-05 04:18:35"
"319","8","12","21","Temporary file","new","2020-01-05 04:18:35"
"320","8","12","25","Diode, inverted, pointer","new","2020-01-05 04:18:35"
"321","9","24","31","a","new","2023-12-05 14:07:27"
"322","10","24","31","a","new","2023-12-05 15:58:06"
"323","10","28","32","8977","new","2023-12-16 14:22:06"
"324","9","28","32","8978","new","2024-01-26 13:27:47"
"325","14","32","37","science","new","2024-01-26 16:22:22"
"326","14","31","34","burhan zaki","new","2024-01-28 12:01:45"
"327","14","31","36","master","new","2024-01-28 12:01:45"
"328","14","31","35","usman","new","2024-01-28 12:01:45"
"329","14","33","39","none","new","2024-01-28 12:10:48"
"330","14","33","38","intellegence technology","new","2024-01-28 12:10:48"
"331","14","34","41","decentarlized","new","2024-01-28 12:44:22"
"332","14","34","40","wallet","new","2024-01-28 12:44:22"
"333","14","35","42","NONE","new","2024-01-28 13:50:10"
"334","15","36","44","TS","new","2024-01-29 08:04:12"
"335","17","35","42","ENTITY","new","2024-01-30 06:25:51"
"336","18","39","47","object oriented progamming","new","2024-01-30 09:13:50"
"337","18","40","49","BF","new","2024-01-30 09:40:33"
"338","19","44","57","DSF","new","2024-02-02 10:49:12"
"339","19","36","44","TS","new","2024-02-02 11:05:58"
